roles,companies,locations,experience,skills
Data Scientist (Gen AI),EY,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",6-11 Yrs,"data science
gen ai
nlp
rag
llm
llama
langchain
lora"
Data Scientist: Artificial Intelligence,EY,Bengaluru,7-12 Yrs,"python
data analytics
artificial intelligence
tableau
ml
hive
algorithms
data analysis"
Data Scientist: Artificial Intelligence,EY,"Hyderabad, Bengaluru",4-8 Yrs,"predictive analytics
machine learning
artificial intelligence
data science
machine learning algorithms
continuous integration
algorithms
python"
Data Scientist - Statistical Modeling (Immediate joiners),EY,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",3-8 Yrs,"data science
statistical modeling
python
predictive modeling
logistic regression
modeling
science
logistics"
Data Architect / Data Scientist,EY,Hybrid - Chennai,3-8 Yrs,"azure data factory
power bi
access
azure databricks
python
data quality
data engineering
data visualization"
Data Scientist,EY,Pune,2-6 Yrs,"text mining
deep learning
advanced analytics
data analysis
machine learning
manager technology
information retrieval
research"
Data Scientist,EY,Tirupati,0-1 Yrs,"cnn
lstm
natural language processing
machine learning
deep learning
rnn
machine
processing"
Data Scientist - Phd only,EY,Mumbai,0-2 Yrs,"natural language processing
phd
deep learning
data science
science
process
languages
processing"
Data Scientist/Engineer,EY,Chennai,2-6 Yrs,"erp
prototype
data management
machine learning
cms
strategic planning
data structures
microsoft"
Data Scientist/Engineer,EY,Chennai,4-7 Yrs,"erp
prototype
data management
machine learning
cms
strategic planning
data structures
microsoft"
Data Scientist,EY,Bengaluru,3-6 Yrs,"data science
pytorch
r
neural networks
random forests
svm
deep learning
python"
Data Scientist- Revenue Growth Management,EY,"Pune, Gurugram, Bengaluru",4-8 Yrs,"pricing analytics
r
sas
power bi
revenue growth management
data visualization
tableau
machine learning"
Machine Learning / Data Scientist,EY,Bengaluru,7-12 Yrs,"machine learning
data science
python coding
hive
docker
snowflake
aws sagemaker
aws cloud"
Data Scientist,EY,"Pune, Chennai, Bengaluru",2-7 Yrs,"architecting
python
natural language processing
sql
ml
algorithms
sql queries
nltk"
Gen AI Data Scientist - Pan India,EY,"Hyderabad, Gurugram, Bengaluru",6-11 Yrs,"generative ai
gen ai
data science
predictive modeling
natural language processing
neural networks
machine learning
deep learning"
